"stock";"fecha_min"
"UFPI";"2005-01-03"
"AIT";"2005-01-03"
"EXPO";"2005-01-03"
"ABG";"2005-01-03"
"ATI";"2005-01-03"
"SPSC";"2010-04-22"
"ENSG";"2007-11-09"
"RMBS";"2005-01-03"
"ASO";"2020-10-02"
"HP";"2005-01-03"
"FN";"2010-06-25"
"LTHM";"2018-10-11"
"BCPC";"2005-01-03"
"DIOD";"2005-01-03"
"FIX";"2005-01-03"
"AJRD";"2005-01-03"
"CYTK";"2005-01-03"
"MLI";"2005-01-03"
"ONTO";"2019-10-28"
"ACLS";"2005-01-03"
"MTH";"2005-01-03"
"AMN";"2005-01-03"
"MMSI";"2005-01-03"
"SM";"2005-01-03"
"NSIT";"2005-01-03"
"FUL";"2005-01-03"
"INDB";"2005-01-03"
"ELF";"2016-09-22"
"AGO";"2005-01-03"
"FELE";"2005-01-03"
"SFBS";"2014-05-14"
"SIG";"2005-01-03"
"BMI";"2005-01-03"
"EPRT";"2018-06-21"
"SANM";"2005-01-03"
"AEIS";"2005-01-03"
"FHB";"2016-08-05"
"UCBI";"2005-01-03"
"OI";"2005-01-03"
"AWR";"2005-01-03"
"JBT";"2008-07-22"
"AIN";"2005-01-03"
"GPI";"2005-01-03"
"SPXC";"2005-01-03"
"CIVI";"2011-12-15"
"CBU";"2005-01-03"
"AEL";"2005-01-03"
"CWT";"2005-01-03"
"HI";"2008-03-28"
"CVBF";"2005-01-03"
"PPBI";"2005-01-03"
"EYE";"2017-10-27"
"AAON";"2005-01-03"
"FSS";"2005-01-03"
"KLIC";"2005-01-03"
"ABCB";"2005-01-03"
"COOP";"2012-03-28"
"LXP";"2005-01-03"
"PTEN";"2005-01-03"
"HUBG";"2005-01-03"
"SMPL";"2017-07-10"
"WSFS";"2005-01-03"
"ABM";"2005-01-03"
"CNMD";"2005-01-03"
"WIRE";"2005-01-03"
"TWNK";"2015-12-15"
"BCC";"2013-02-06"
"KFY";"2005-01-03"
"PBH";"2005-02-10"
"UNF";"2005-01-03"
"OUT";"2014-03-28"
"SEM";"2009-09-25"
"LCII";"2005-01-03"
"BKU";"2011-01-28"
"AVA";"2005-01-03"
"SFNC";"2005-01-03"
"MOG-A";"2005-01-03"
"WD";"2010-12-15"
"CCOI";"2005-01-03"
"ROG";"2005-01-03"
"ACA";"2018-11-05"
"GNW";"2005-01-03"
"MXL";"2010-03-24"
"REZI";"2018-10-29"
"IOSP";"2005-01-03"
"AEO";"2005-01-03"
"PRFT";"2005-01-03"
"PLXS";"2005-01-03"
"ALRM";"2015-06-26"
"KWR";"2005-01-03"
"SBCF";"2005-01-03"
"DORM";"2005-01-03"
"SONO";"2018-08-02"
"AAWW";"2005-11-09"
"FWRD";"2005-01-03"
"AX";"2005-03-16"
"FBP";"2005-01-03"
"MATX";"2005-01-03"
"ITRI";"2005-01-03"
"IBP";"2014-02-13"
"VIAV";"2005-01-03"
"GMS";"2016-05-26"
"EXTR";"2005-01-03"
"SITC";"2005-01-03"
"COLB";"2005-01-03"
"FORM";"2005-01-03"
"ARCB";"2005-01-03"
"PRGS";"2005-01-03"
"BOOT";"2014-10-30"
"IIPR";"2016-12-01"
"SHOO";"2005-01-03"
"NUVA";"2005-01-03"
"BRC";"2005-01-03"
"FFBC";"2005-01-03"
"ESE";"2005-01-03"
"THRM";"2005-01-03"
"CVCO";"2005-01-03"
"THS";"2005-06-28"
"NPO";"2005-01-03"
"CRS";"2005-01-03"
"FCPT";"2015-11-10"
"UNFI";"2005-01-03"
"EVTC";"2013-04-12"
"LGIH";"2013-11-07"
"GKOS";"2015-06-25"
"ITGR";"2005-01-03"
"SABR";"2014-04-17"
"KTB";"2019-05-28"
"WDFC";"2005-01-03"
"CWK";"2018-08-02"
"ARNC";"2020-04-01"
"EPC";"2005-01-03"
"SCL";"2005-01-03"
"B";"2005-01-03"
"SHO";"2005-01-03"
"TPH";"2013-01-31"
"IBTX";"2013-04-04"
"FTDR";"2018-09-13"
"TRN";"2005-01-03"
"CORT";"2005-01-03"
"BANR";"2005-01-03"
"NOG";"2007-04-13"
"XNCR";"2013-12-03"
"MDC";"2005-01-03"
"AVAV";"2007-01-23"
"IDCC";"2005-01-03"
"PIPR";"2005-01-03"
"YELP";"2012-03-02"
"BLMN";"2012-08-08"
"CPK";"2005-01-03"
"NUS";"2005-01-03"
"SHAK";"2015-01-30"
"SUPN";"2012-05-01"
"JJSF";"2005-01-03"
"SIX";"2010-05-11"
"SMTC";"2005-01-03"
"NTCT";"2005-01-03"
"OII";"2005-01-03"
"RNST";"2005-01-03"
"GPRE";"2006-03-15"
"STRA";"2005-01-03"
"SJW";"2005-01-03"
"ODP";"2005-01-03"
"IPAR";"2005-01-03"
"BFH";"2005-01-03"
"DV";"2021-04-21"
"CPE";"2005-01-03"
"TRUP";"2014-07-18"
"CALM";"2005-01-03"
"VIR";"2019-10-11"
"LESL";"2020-10-29"
"DRH";"2005-05-26"
"MTX";"2005-01-03"
"WGO";"2005-01-03"
"TBBK";"2005-01-03"
"HCC";"2017-04-13"
"SKT";"2005-01-03"
"NMIH";"2013-11-08"
"CTRE";"2014-05-29"
"ROIC";"2009-11-03"
"CEIX";"2017-11-14"
"MDRX";"2005-01-03"
"PRK";"2005-01-03"
"PLAY";"2014-10-10"
"GFF";"2005-01-03"
"PCRX";"2011-02-03"
"CSGS";"2005-01-03"
"PSMT";"2005-01-03"
"UE";"2015-01-16"
"CAKE";"2005-01-03"
"TRMK";"2005-01-03"
"SSTK";"2012-10-11"
"GVA";"2005-01-03"
"CCS";"2014-06-18"
"EAT";"2005-01-03"
"MEI";"2005-01-03"
"ATGE";"2005-01-03"
"PFS";"2005-01-03"
"VRTV";"2014-06-18"
"SBH";"2006-11-17"
"INT";"2005-01-03"
"NWBI";"2005-01-03"
"LKFN";"2005-01-03"
