"intercepto","pendiente","t","t1","t5","t10","Res_t1","Res_t5","Res_t10","par","pary","parx","fecha"
20.41081,-0.4774642,-5.275495,-2.58,-1.95,-1.62,"ok","ok","ok","SENEA_SPTN","SENEA","SPTN",20051
35.45148,-1.664585,-4.846141,-2.58,-1.95,-1.62,"ok","ok","ok","SPTN_SENEA","SPTN","SENEA",20051
-2.92082024098155,0.711473149649684,-4.34167244305697,-2.58,-1.95,-1.62,"ok","ok","ok","ANDE_CENT","ANDE","CENT",20051
22.59311,-10.14324,-4.656157,-2.58,-1.95,-1.62,"ok","ok","ok","SPTN_VGR","SPTN","VGR",20052
2.35771947007481,-0.054443737289035,-4.33724518898716,-2.58,-1.95,-1.62,"ok","ok","ok","VGR_CENT","VGR","CENT",20052
-4.430003,0.622388,-4.24851,-2.58,-1.95,-1.62,"ok","ok","ok","SPTN_UVV","SPTN","UVV",20052
19.08931,0.1510283,-4.308504,-2.58,-1.95,-1.62,"ok","ok","ok","WDFC_MGPI","WDFC","MGPI",20061
18.2404650895634,1.44534132108581,-4.01096801260587,-2.58,-1.95,-1.62,"ok","ok","ok","WDFC_FIZZ","WDFC","FIZZ",20061
17.12677,0.4380716,-3.932821,-2.58,-1.95,-1.62,"ok","ok","ok","SENEA_MED","SENEA","MED",20061
11.25746,0.4071206,-4.686028,-2.58,-1.95,-1.62,"ok","ok","ok","USNA_JJSF","USNA","JJSF",20062
12.7960522642621,0.736310140123701,-4.62855013501778,-2.58,-1.95,-1.62,"ok","ok","ok","USNA_HAIN","USNA","HAIN",20062
12.26543,0.548049,-4.37891,-2.58,-1.95,-1.62,"ok","ok","ok","USNA_UVV","USNA","UVV",20062
-8.18694652555643,1.52541826833646,-4.68839625079779,-2.58,-1.95,-1.62,"ok","ok","ok","CENT_HAIN","CENT","HAIN",20071
9.219202,1.272406,-4.271144,-2.58,-1.95,-1.62,"ok","ok","ok","UNFI_MGPI","UNFI","MGPI",20071
13.6047763654413,1.54472583910115,-4.17359568534852,-2.58,-1.95,-1.62,"ok","ok","ok","SENEA_CVGW","SENEA","CVGW",20071
11.1417968365124,2.05963757342855,-4.68215676609674,-2.58,-1.95,-1.62,"ok","ok","ok","TR_FIZZ","TR","FIZZ",20072
23.13833,-0.2636011,-4.539526,-2.58,-1.95,-1.62,"ok","ok","ok","TR_WDFC","TR","WDFC",20072
1.317666,0.2341031,-4.414104,-2.58,-1.95,-1.62,"ok","ok","ok","FIZZ_MED","FIZZ","MED",20072
-28.99791,2.360898,-4.740422,-2.58,-1.95,-1.62,"ok","ok","ok","UNFI_SENEA","UNFI","SENEA",20081
