"Date","eqcurve_estrategia"
"2005-01-03",100
"2005-01-04",100
"2005-01-05",100
"2005-01-06",100
"2005-01-07",100
"2005-01-10",100
"2005-01-11",100
"2005-01-12",100
"2005-01-13",100
"2005-01-14",100
"2005-01-18",100
"2005-01-19",100
"2005-01-20",100
"2005-01-21",100
"2005-01-24",100
"2005-01-25",100
"2005-01-26",100
"2005-01-27",100
"2005-01-28",100
"2005-01-31",100
"2005-02-01",100
"2005-02-02",100
"2005-02-03",100
"2005-02-04",100
"2005-02-07",100
"2005-02-08",100
"2005-02-09",100
"2005-02-10",100
"2005-02-11",100
"2005-02-14",100
"2005-02-15",100
"2005-02-16",100
"2005-02-17",100
"2005-02-18",100
"2005-02-22",100
"2005-02-23",100
"2005-02-24",100
"2005-02-25",100
"2005-02-28",100
"2005-03-01",100
"2005-03-02",100
"2005-03-03",100
"2005-03-04",100
"2005-03-07",100
"2005-03-08",100
"2005-03-09",100
"2005-03-10",100
"2005-03-11",100
"2005-03-14",100
"2005-03-15",100
"2005-03-16",100
"2005-03-17",100
"2005-03-18",100
"2005-03-21",100
"2005-03-22",100
"2005-03-23",100
"2005-03-24",100
"2005-03-28",100
"2005-03-29",100
"2005-03-30",100
"2005-03-31",100
"2005-04-01",100
"2005-04-04",100
"2005-04-05",100
"2005-04-06",100
"2005-04-07",100
"2005-04-08",100
"2005-04-11",100
"2005-04-12",100
"2005-04-13",100
"2005-04-14",100
"2005-04-15",100
"2005-04-18",100
"2005-04-19",100
"2005-04-20",100
"2005-04-21",100
"2005-04-22",100
"2005-04-25",100
"2005-04-26",100
"2005-04-27",100
"2005-04-28",100
"2005-04-29",100
"2005-05-02",100
"2005-05-03",100
"2005-05-04",100
"2005-05-05",100
"2005-05-06",100
"2005-05-09",100
"2005-05-10",100
"2005-05-11",100
"2005-05-12",100
"2005-05-13",100
"2005-05-16",100
"2005-05-17",100
"2005-05-18",100
"2005-05-19",100
"2005-05-20",100
"2005-05-23",100
"2005-05-24",100
"2005-05-25",100
"2005-05-26",100
"2005-05-27",100
"2005-05-31",100
"2005-06-01",100
"2005-06-02",100
"2005-06-03",100
"2005-06-06",100
"2005-06-07",100
"2005-06-08",100
"2005-06-09",100
"2005-06-10",100
"2005-06-13",100
"2005-06-14",100
"2005-06-15",100
"2005-06-16",100
"2005-06-17",100
"2005-06-20",100
"2005-06-21",100
"2005-06-22",100
"2005-06-23",100
"2005-06-24",100
"2005-06-27",100
"2005-06-28",100
"2005-06-29",100
"2005-06-30",100
"2005-07-01",100
"2005-07-05",100
"2005-07-06",100
"2005-07-07",100
"2005-07-08",100
"2005-07-11",100
"2005-07-12",100
"2005-07-13",100
"2005-07-14",100
"2005-07-15",100
"2005-07-18",100
"2005-07-19",100
"2005-07-20",100
"2005-07-21",100
"2005-07-22",100
"2005-07-25",100
"2005-07-26",100
"2005-07-27",100
"2005-07-28",100
"2005-07-29",100
"2005-08-01",100
"2005-08-02",100
"2005-08-03",100
"2005-08-04",100
"2005-08-05",100
"2005-08-08",100
"2005-08-09",100
"2005-08-10",100
"2005-08-11",100
"2005-08-12",100
"2005-08-15",100
"2005-08-16",100
"2005-08-17",100
"2005-08-18",100
"2005-08-19",100
"2005-08-22",100
"2005-08-23",100
"2005-08-24",100
"2005-08-25",100
"2005-08-26",100
"2005-08-29",100
"2005-08-30",100
"2005-08-31",100
"2005-09-01",100
"2005-09-02",100
"2005-09-06",100
"2005-09-07",100
"2005-09-08",100
"2005-09-09",100
"2005-09-12",100
"2005-09-13",100
"2005-09-14",100
"2005-09-15",100
"2005-09-16",100
"2005-09-19",100
"2005-09-20",100
"2005-09-21",100
"2005-09-22",100
"2005-09-23",100
"2005-09-26",100
"2005-09-27",100
"2005-09-28",100
"2005-09-29",100
"2005-09-30",100
"2005-10-03",100
"2005-10-04",100
"2005-10-05",100
"2005-10-06",100
"2005-10-07",100
"2005-10-10",100
"2005-10-11",100
"2005-10-12",100
"2005-10-13",100
"2005-10-14",100
"2005-10-17",100
"2005-10-18",100
"2005-10-19",100
"2005-10-20",100
"2005-10-21",100
"2005-10-24",100
"2005-10-25",100
"2005-10-26",100
"2005-10-27",100
"2005-10-28",100
"2005-10-31",100
"2005-11-01",100
"2005-11-02",100
"2005-11-03",100
"2005-11-04",100
"2005-11-07",100
"2005-11-08",100
"2005-11-09",100
"2005-11-10",100
"2005-11-11",100
"2005-11-14",100
"2005-11-15",100
"2005-11-16",100
"2005-11-17",100
"2005-11-18",100
"2005-11-21",100
"2005-11-22",100
"2005-11-23",100
"2005-11-25",100
"2005-11-28",100
"2005-11-29",100
"2005-11-30",100
"2005-12-01",100
"2005-12-02",100
"2005-12-05",100
"2005-12-06",100
"2005-12-07",100
"2005-12-08",100
"2005-12-09",100
"2005-12-12",100
"2005-12-13",100
"2005-12-14",100
"2005-12-15",100
"2005-12-16",100
"2005-12-19",100
"2005-12-20",100
"2005-12-21",100
"2005-12-22",100
"2005-12-23",100
"2005-12-27",100
"2005-12-28",100
"2005-12-29",100
"2005-12-30",100
"2006-01-03",100.292493645844
"2006-01-04",99.0665263691539
"2006-01-05",99.0198342341484
"2006-01-06",101.12747401938
"2006-01-09",101.470521009023
"2006-01-10",97.0741429335388
"2006-01-11",94.139941992168
"2006-01-12",90.534150378191
"2006-01-13",90.7149630214926
"2006-01-17",87.660169129932
"2006-01-18",85.0971715137877
"2006-01-19",83.6075101613235
"2006-01-20",88.3446125901392
"2006-01-23",87.0215959713818
"2006-01-24",80.233875920956
"2006-01-25",86.2679833324237
"2006-01-26",94.949686585346
"2006-01-27",95.3728747065197
"2006-01-30",94.1189812763896
"2006-01-31",95.5350540271112
"2006-02-01",93.4201310146533
"2006-02-02",87.2824814737481
"2006-02-03",87.8614654441378
"2006-02-06",87.3549170206014
"2006-02-07",92.094243037885
"2006-02-08",97.0612769192951
"2006-02-09",105.047453663005
"2006-02-10",118.918921368521
"2006-02-13",127.069330771473
"2006-02-14",122.710173337307
"2006-02-15",120.532864310955
"2006-02-16",125.248616029062
"2006-02-17",126.689521418335
"2006-02-21",127.606705358057
"2006-02-22",118.350784895764
"2006-02-23",133.545608083208
"2006-02-24",136.736850132641
"2006-02-27",145.257142850637
"2006-02-28",150.396183229478
"2006-03-01",150.519224348027
"2006-03-02",148.636679429364
"2006-03-03",150.894395324618
"2006-03-06",153.171318634617
"2006-03-07",148.379342062475
"2006-03-08",151.319571183018
"2006-03-09",148.757125800921
"2006-03-10",153.045140289872
"2006-03-13",147.231040829704
"2006-03-14",142.965856676221
"2006-03-15",145.444209755268
"2006-03-16",141.122871302608
"2006-03-17",140.537375626043
"2006-03-20",138.987554224358
"2006-03-21",120.324312528002
"2006-03-22",116.198837268606
"2006-03-23",120.345608530566
"2006-03-24",125.217629264999
"2006-03-27",125.566587236771
"2006-03-28",127.528041395297
"2006-03-29",128.335098020564
"2006-03-30",135.756555726641
"2006-03-31",140.140044263619
"2006-04-03",137.081544963787
"2006-04-04",136.860791741838
"2006-04-05",140.502351885468
"2006-04-06",137.126918610919
"2006-04-07",133.455764399818
"2006-04-10",137.128355090425
"2006-04-11",141.160449980843
"2006-04-12",140.860300874657
"2006-04-13",142.661247507299
"2006-04-17",149.226119093336
"2006-04-18",149.467275168982
"2006-04-19",149.309250677819
"2006-04-20",149.45453580505
"2006-04-21",146.926158528014
"2006-04-24",150.850179965486
"2006-04-25",150.687872320298
"2006-04-26",158.152497133592
"2006-04-27",158.615399851264
"2006-04-28",159.325684754205
"2006-05-01",157.18708868948
"2006-05-02",159.767883921324
"2006-05-03",157.288613823331
"2006-05-04",161.977133693872
"2006-05-05",159.32385914969
"2006-05-08",150.655113752638
"2006-05-09",151.869770795089
"2006-05-10",150.873953657016
"2006-05-11",153.035372638641
"2006-05-12",149.873152598334
"2006-05-15",153.807353221614
"2006-05-16",150.597901787329
"2006-05-17",150.0415973828
"2006-05-18",158.271689883647
"2006-05-19",159.341310592205
"2006-05-22",145.17326901096
"2006-05-23",147.3110940613
"2006-05-24",138.88774432749
"2006-05-25",134.694686777252
"2006-05-26",135.164585424936
"2006-05-30",138.306505665634
"2006-05-31",141.96478146827
"2006-06-01",146.713019312568
"2006-06-02",143.180426328045
"2006-06-05",140.659571829439
"2006-06-06",143.249106592614
"2006-06-07",142.296080791202
"2006-06-08",142.216698653175
"2006-06-09",140.120444863271
"2006-06-12",141.721758951035
"2006-06-13",134.363878342565
"2006-06-14",134.367044019315
"2006-06-15",138.015477553641
"2006-06-16",137.831755472641
"2006-06-19",140.293559260401
"2006-06-20",141.801026711407
"2006-06-21",142.776052566904
"2006-06-22",141.386965547964
"2006-06-23",138.261991319655
"2006-06-26",136.699144063189
"2006-06-27",136.539653665135
"2006-06-28",140.187037121655
"2006-06-29",139.327407201775
"2006-06-30",139.980381117391
"2006-07-03",137.233565027754
"2006-07-05",139.258999978771
"2006-07-06",138.656272785864
"2006-07-07",141.185328014937
"2006-07-10",137.134287260741
"2006-07-11",142.572945642075
"2006-07-12",136.105505018363
"2006-07-13",135.043770732573
"2006-07-14",137.920656335437
"2006-07-17",136.989865719651
"2006-07-18",128.988039802109
"2006-07-19",127.236079954428
"2006-07-20",130.941218794395
"2006-07-21",132.301051088513
"2006-07-24",132.892845587851
"2006-07-25",139.609788273576
"2006-07-26",128.241531344798
"2006-07-27",118.558808748724
"2006-07-28",120.254807608168
"2006-07-31",119.826781410401
"2006-08-01",115.597627447459
"2006-08-02",114.792797304583
"2006-08-03",114.809609775792
"2006-08-04",114.404881621785
"2006-08-07",110.323441362695
"2006-08-08",101.961990121728
"2006-08-09",104.05935486702
"2006-08-10",102.196779724142
"2006-08-11",104.475834085561
"2006-08-14",106.351186042581
"2006-08-15",107.254881859975
"2006-08-16",111.887241144432
"2006-08-17",111.023684125418
"2006-08-18",109.215634317565
"2006-08-21",108.9766375693
"2006-08-22",103.49555730888
"2006-08-23",103.641829726663
"2006-08-24",106.4402264137
"2006-08-25",100.626131754391
"2006-08-28",100.085284491059
"2006-08-29",102.842245648099
"2006-08-30",101.2725548968
"2006-08-31",104.380532688776
"2006-09-01",105.097645330972
"2006-09-05",106.740993437549
"2006-09-06",104.690496221934
"2006-09-07",104.658420853839
"2006-09-08",106.152904562915
"2006-09-11",108.220467741458
"2006-09-12",107.690655764692
"2006-09-13",108.040292996119
"2006-09-14",108.326965944952
"2006-09-15",106.697023847247
"2006-09-18",107.342193315618
"2006-09-19",107.781845917627
"2006-09-20",105.809703974896
"2006-09-21",106.075184718743
"2006-09-22",105.5097447389
"2006-09-25",105.900980887736
"2006-09-26",106.37571780457
"2006-09-27",107.737247412317
"2006-09-28",109.021180393274
"2006-09-29",108.583787769074
"2006-10-02",108.341795515483
"2006-10-03",107.478271050509
"2006-10-04",108.992808771023
"2006-10-05",107.472860483045
"2006-10-06",103.403770464944
"2006-10-09",101.176792409973
"2006-10-10",102.681029912769
"2006-10-11",106.212980500462
"2006-10-12",102.156312032782
"2006-10-13",104.554639934611
"2006-10-16",100.827322061803
"2006-10-17",99.5027973337111
"2006-10-18",97.3523100426803
"2006-10-19",98.241146352417
"2006-10-20",99.9345388018589
"2006-10-23",100.884283225931
"2006-10-24",101.889939185477
"2006-10-25",100.209738584288
"2006-10-26",98.3825282186132
"2006-10-27",95.1397087667728
"2006-10-30",96.3320937549274
"2006-10-31",93.7189218302895
"2006-11-01",91.9387884455221
"2006-11-02",93.9103855207742
"2006-11-03",91.7429830679233
"2006-11-06",90.0179612477141
"2006-11-07",86.5785814076688
"2006-11-08",86.1236799521119
"2006-11-09",88.0014143729502
"2006-11-10",89.4402733277006
"2006-11-13",88.2139104671658
"2006-11-14",85.2733330051938
"2006-11-15",85.3996487000076
"2006-11-16",86.1001389199165
"2006-11-17",87.6056782241789
"2006-11-20",89.7467306142024
"2006-11-21",90.9985820761604
"2006-11-22",90.4636122284453
"2006-11-24",88.6907232933117
"2006-11-27",89.9603769781813
"2006-11-28",92.5734216246393
"2006-11-29",90.8222705038682
"2006-11-30",91.9344620591707
"2006-12-01",91.8517283100504
"2006-12-04",93.2218107855533
"2006-12-05",93.915781174813
"2006-12-06",94.4551169266002
"2006-12-07",92.740270642192
"2006-12-08",92.8982343070843
"2006-12-11",93.8951664194184
"2006-12-12",94.124609090469
"2006-12-13",93.6912784064852
"2006-12-14",93.1543174985146
"2006-12-15",95.2655861184428
"2006-12-18",96.6591704048196
"2006-12-19",97.2949778943048
"2006-12-20",94.6910426683594
"2006-12-21",96.0771702898518
"2006-12-22",95.5799151687538
"2006-12-26",94.649437521086
"2006-12-27",94.1849529712461
"2006-12-28",94.6891065165291
"2006-12-29",94.66534771066
"2007-01-03",92.91294095508
"2007-01-04",94.219351609179
"2007-01-05",94.2971799069309
"2007-01-08",95.182287703733
"2007-01-09",94.8459244551943
"2007-01-10",94.6220903032302
"2007-01-11",94.8053184393657
"2007-01-12",94.0748159932542
"2007-01-16",91.4154886446041
"2007-01-17",90.7934606740581
"2007-01-18",92.2273791122267
"2007-01-19",93.0950369009758
"2007-01-22",92.4484474859435
"2007-01-23",92.0775314684383
"2007-01-24",92.9102038624699
"2007-01-25",93.8792088544593
"2007-01-26",96.1793153753477
"2007-01-29",96.1395521158925
"2007-01-30",95.1066587223905
"2007-01-31",94.1599829431961
"2007-02-01",95.5871070427211
"2007-02-02",95.2555881278775
"2007-02-05",95.4137822098503
"2007-02-06",95.5060333230685
"2007-02-07",93.782943476501
"2007-02-08",94.0278819206531
"2007-02-09",94.765094138796
"2007-02-12",93.8277338777501
"2007-02-13",94.253576282311
"2007-02-14",94.1446977880466
"2007-02-15",94.9783908472578
"2007-02-16",95.1817940067972
"2007-02-20",97.2892350133321
"2007-02-21",97.4866568150465
"2007-02-22",96.875358796335
"2007-02-23",96.550350020444
"2007-02-26",97.5418952880131
"2007-02-27",95.9888049022403
"2007-02-28",96.9889724294834
"2007-03-01",97.502956322222
"2007-03-02",98.3565920958489
"2007-03-05",98.5390024592605
"2007-03-06",98.8762587510886
"2007-03-07",98.7602053984997
"2007-03-08",99.0870204300242
"2007-03-09",99.2330546353062
"2007-03-12",99.7085766053816
"2007-03-13",99.4425452515959
"2007-03-14",98.9237949069199
"2007-03-15",100.325720088482
"2007-03-16",98.123108452441
"2007-03-19",99.3342354433836
"2007-03-20",100.020905312537
"2007-03-21",100.91681366126
"2007-03-22",100.692588008363
"2007-03-23",100.450148884153
"2007-03-26",100.79466838015
"2007-03-27",101.38072007223
"2007-03-28",100.627823312646
"2007-03-29",100.008645448144
"2007-03-30",101.077381734606
"2007-04-02",99.9355358887768
"2007-04-03",101.684986355509
"2007-04-04",100.385180998943
"2007-04-05",99.4938264197655
"2007-04-09",98.7481315327245
"2007-04-10",99.0349114357174
"2007-04-11",96.8370471281676
"2007-04-12",97.1413229533366
"2007-04-13",96.8921658338905
"2007-04-16",97.299638791506
"2007-04-17",97.9386411309106
"2007-04-18",97.2089239399778
"2007-04-19",97.6602716987814
"2007-04-20",97.2661635154758
"2007-04-23",96.479686791304
"2007-04-24",95.1975728142091
"2007-04-25",95.216460568442
"2007-04-26",95.4714831504869
"2007-04-27",95.98649371001
"2007-04-30",96.0138896988159
"2007-05-01",97.6666188333986
"2007-05-02",99.9006410883947
"2007-05-03",99.5060496525291
"2007-05-04",98.5535410059557
"2007-05-07",97.6556083645785
"2007-05-08",97.5388209903153
"2007-05-09",97.4940694983092
"2007-05-10",97.464397383105
"2007-05-11",96.0497134515854
"2007-05-14",94.8851448579017
"2007-05-15",94.6077257475266
"2007-05-16",94.0070253446871
"2007-05-17",94.3869887395744
"2007-05-18",94.1474002831486
"2007-05-21",93.0089443017904
"2007-05-22",93.8440902882706
"2007-05-23",98.9794876661374
"2007-05-24",98.3591825282966
"2007-05-25",98.8586562208
"2007-05-29",98.8603663124861
"2007-05-30",95.9494089394733
"2007-05-31",97.1941825221776
"2007-06-01",97.5526676824786
"2007-06-04",97.406617790693
"2007-06-05",97.082301960687
"2007-06-06",97.240105067776
"2007-06-07",98.2187511557449
"2007-06-08",98.9028746448932
"2007-06-11",99.8635434781563
"2007-06-12",98.5238077078998
"2007-06-13",97.9913717256587
"2007-06-14",98.5841974724315
"2007-06-15",99.5480007639321
"2007-06-18",100.630788905518
"2007-06-19",103.058095451662
"2007-06-20",103.323917869812
"2007-06-21",103.282161735811
"2007-06-22",101.022637792574
"2007-06-25",101.216944056715
"2007-06-26",100.15898013925
"2007-06-27",101.135296558107
"2007-06-28",100.953132648882
"2007-06-29",101.040341448264
"2007-07-02",100.894399585832
"2007-07-03",100.630124644416
"2007-07-05",100.792044942219
"2007-07-06",101.171381898852
"2007-07-09",100.960189304571
"2007-07-10",101.515452740219
"2007-07-11",100.691791804901
"2007-07-12",101.307039613544
"2007-07-13",101.424895164495
"2007-07-16",100.230227785198
"2007-07-17",99.3853264326923
"2007-07-18",98.7622537863467
"2007-07-19",99.6587865543289
"2007-07-20",99.3398405097939
"2007-07-23",98.5931731938329
"2007-07-24",98.6191431074749
"2007-07-25",98.5948291474927
"2007-07-26",99.7100764466661
"2007-07-27",99.3330778585804
"2007-07-30",99.0452682094144
"2007-07-31",96.4744903485686
"2007-08-01",97.2442347919929
"2007-08-02",97.5170503805681
"2007-08-03",97.1655982889909
"2007-08-06",97.0453106496041
"2007-08-07",96.9257251668935
"2007-08-08",96.9055322359976
"2007-08-09",95.9668490845081
"2007-08-10",95.0604932551346
"2007-08-13",96.1921687497004
"2007-08-14",97.5314130476973
"2007-08-15",97.7576869136132
"2007-08-16",98.4476863000782
"2007-08-17",98.9456335544049
"2007-08-20",100.037085589915
"2007-08-21",100.240893410941
"2007-08-22",99.2368152677658
"2007-08-23",99.19471159849
"2007-08-24",99.0745241787983
"2007-08-27",99.0207923618256
"2007-08-28",98.9570599856977
"2007-08-29",98.3023391799621
"2007-08-30",97.9589191873206
"2007-08-31",98.3411177075615
"2007-09-04",98.422665815755
"2007-09-05",97.3643589392099
"2007-09-06",97.0398005064384
"2007-09-07",96.9003761126225
"2007-09-10",97.0695987886457
"2007-09-11",98.0458704919936
"2007-09-12",97.9932671472955
"2007-09-13",97.9932686481729
"2007-09-14",98.8770953047398
"2007-09-17",98.8177735775462
"2007-09-18",98.8480740820968
"2007-09-19",99.6285350432508
"2007-09-20",100.854230206751
"2007-09-21",101.051256097315
"2007-09-24",100.903561672776
"2007-09-25",100.310069121854
"2007-09-26",100.273579797762
"2007-09-27",100.036278720924
"2007-09-28",99.9389441433595
"2007-10-01",100.900954237448
"2007-10-02",100.113338855703
"2007-10-03",100.723067186784
"2007-10-04",101.277818185017
"2007-10-05",102.111998312258
"2007-10-08",102.528370801219
"2007-10-09",103.230502762793
"2007-10-10",103.412853246405
"2007-10-11",103.566248567265
"2007-10-12",103.096565109215
"2007-10-15",102.061486777252
"2007-10-16",102.14958500489
"2007-10-17",100.641644593978
"2007-10-18",101.295083764482
"2007-10-19",101.954191178387
"2007-10-22",101.125343710339
"2007-10-23",101.042728604608
"2007-10-24",101.083792181186
"2007-10-25",101.232085618906
"2007-10-26",100.041194690004
"2007-10-29",100.096295716398
"2007-10-30",99.9984684719089
"2007-10-31",99.8265674879005
"2007-11-01",100.217969386303
"2007-11-02",100.958924328349
"2007-11-05",100.643808963002
"2007-11-06",100.54108280733
"2007-11-07",101.235342707642
"2007-11-08",99.5599545389414
"2007-11-09",98.2601578099649
"2007-11-12",100.746224130671
"2007-11-13",98.8778457110445
"2007-11-14",100.832240694086
"2007-11-15",101.058017977471
"2007-11-16",100.798593669533
"2007-11-19",99.7898791033804
"2007-11-20",99.1983332747729
"2007-11-21",97.8654494076212
"2007-11-23",97.7328874484966
"2007-11-26",97.3331362403872
"2007-11-27",97.0020724332663
"2007-11-28",96.6289875392923
"2007-11-29",96.3753681494253
"2007-11-30",95.1546107451056
"2007-12-03",94.7724626087036
"2007-12-04",96.0527908471019
"2007-12-05",94.8724672916843
"2007-12-06",95.659321463697
"2007-12-07",96.0898911900979
"2007-12-10",95.845091042756
"2007-12-11",95.9151246840436
"2007-12-12",95.8629724350095
"2007-12-13",95.716044146067
"2007-12-14",96.2279983161033
"2007-12-17",95.3930113227737
"2007-12-18",95.3306563371082
"2007-12-19",94.7307086766886
"2007-12-20",94.7307067371015
"2007-12-21",94.6634078122099
"2007-12-24",94.3062971959181
"2007-12-26",93.7999866545603
"2007-12-27",93.3185883647732
"2007-12-28",94.5340933074457
"2007-12-31",94.1094500905262
"2008-01-02",96.4251941544785
"2008-01-03",97.0351160769493
"2008-01-04",98.2389549164853
"2008-01-07",99.1151094324614
"2008-01-08",100.8566306421
"2008-01-09",101.746614579145
"2008-01-10",101.402648520149
"2008-01-11",100.104477737522
"2008-01-14",99.1174999707356
"2008-01-15",99.3188808645386
"2008-01-16",99.8067443461139
"2008-01-17",98.2621985742796
"2008-01-18",98.3215306700931
"2008-01-22",98.4997879161062
"2008-01-23",99.5460396008224
"2008-01-24",99.3335520819506
"2008-01-25",100.234484809953
"2008-01-28",99.3739296401803
"2008-01-29",99.5052372886942
"2008-01-30",100.852863717817
"2008-01-31",101.749819386917
"2008-02-01",100.503906310422
"2008-02-04",102.070353957709
