"Date","eqcurve_estrategia"
"2006-01-03",100
"2006-01-04",100
"2006-01-05",100
"2006-01-06",100
"2006-01-09",100
"2006-01-10",100
"2006-01-11",100
"2006-01-12",100
"2006-01-13",100
"2006-01-17",100
"2006-01-18",100
"2006-01-19",100
"2006-01-20",100
"2006-01-23",100
"2006-01-24",100
"2006-01-25",100
"2006-01-26",100
"2006-01-27",100
"2006-01-30",100
"2006-01-31",100
"2006-02-01",100
"2006-02-02",100
"2006-02-03",100
"2006-02-06",100
"2006-02-07",100
"2006-02-08",100
"2006-02-09",100
"2006-02-10",100
"2006-02-13",100
"2006-02-14",100
"2006-02-15",100
"2006-02-16",100
"2006-02-17",100
"2006-02-21",100
"2006-02-22",100
"2006-02-23",100
"2006-02-24",100
"2006-02-27",100
"2006-02-28",100
"2006-03-01",100
"2006-03-02",100
"2006-03-03",100
"2006-03-06",100
"2006-03-07",100
"2006-03-08",100
"2006-03-09",100
"2006-03-10",100
"2006-03-13",100
"2006-03-14",100
"2006-03-15",100
"2006-03-16",100
"2006-03-17",100
"2006-03-20",100
"2006-03-21",100
"2006-03-22",100
"2006-03-23",100
"2006-03-24",100
"2006-03-27",100
"2006-03-28",100
"2006-03-29",100
"2006-03-30",100
"2006-03-31",100
"2006-04-03",100
"2006-04-04",100
"2006-04-05",100
"2006-04-06",100
"2006-04-07",100
"2006-04-10",100
"2006-04-11",100
"2006-04-12",100
"2006-04-13",100
"2006-04-17",100
"2006-04-18",100
"2006-04-19",100
"2006-04-20",100
"2006-04-21",100
"2006-04-24",100
"2006-04-25",100
"2006-04-26",100
"2006-04-27",100
"2006-04-28",100
"2006-05-01",100
"2006-05-02",100
"2006-05-03",100
"2006-05-04",100
"2006-05-05",100
"2006-05-08",100
"2006-05-09",100
"2006-05-10",100
"2006-05-11",100
"2006-05-12",100
"2006-05-15",100
"2006-05-16",100
"2006-05-17",100
"2006-05-18",100
"2006-05-19",100
"2006-05-22",100
"2006-05-23",100
"2006-05-24",100
"2006-05-25",100
"2006-05-26",100
"2006-05-30",100
"2006-05-31",100
"2006-06-01",100
"2006-06-02",100
"2006-06-05",100
"2006-06-06",100
"2006-06-07",100
"2006-06-08",100
"2006-06-09",100
"2006-06-12",100
"2006-06-13",100
"2006-06-14",100
"2006-06-15",100
"2006-06-16",100
"2006-06-19",100
"2006-06-20",100
"2006-06-21",100
"2006-06-22",100
"2006-06-23",100
"2006-06-26",100
"2006-06-27",100
"2006-06-28",100
"2006-06-29",100
"2006-06-30",100
"2006-07-03",100
"2006-07-05",99.9875082802028
"2006-07-06",100.229357441602
"2006-07-07",100.373134104602
"2006-07-10",100.549664506934
"2006-07-11",100.166462071948
"2006-07-12",100.549609860745
"2006-07-13",100.892998968251
"2006-07-14",101.083607123991
"2006-07-17",101.165120486403
"2006-07-18",101.088822147633
"2006-07-19",100.583421406039
"2006-07-20",100.479673475463
"2006-07-21",100.622927135617
"2006-07-24",100.022269551419
"2006-07-25",100.246492371468
"2006-07-26",100.272459979527
"2006-07-27",100.423716563405
"2006-07-28",100.998344039393
"2006-07-31",101.292648907402
"2006-08-01",101.649006755445
"2006-08-02",101.374029904892
"2006-08-03",101.390496934218
"2006-08-04",101.156356813892
"2006-08-07",101.684945557175
"2006-08-08",101.681817200724
"2006-08-09",101.908715698763
"2006-08-10",101.827479114374
"2006-08-11",101.803046802634
"2006-08-14",101.623957848304
"2006-08-15",101.042188407753
"2006-08-16",100.937278254914
"2006-08-17",100.939673644563
"2006-08-18",100.805961930719
"2006-08-21",100.717834738042
"2006-08-22",100.78801995367
"2006-08-23",100.653772145125
"2006-08-24",101.03127632774
"2006-08-25",101.007698352571
"2006-08-28",100.694046761557
"2006-08-29",100.803620864555
"2006-08-30",100.956410621638
"2006-08-31",101.101762242716
"2006-09-01",101.051978313228
"2006-09-05",101.153384274855
"2006-09-06",101.336806941715
"2006-09-07",101.449025972033
