"Date","eqcurve_estrategia"
"2006-01-03",100
"2006-01-04",100
"2006-01-05",100
"2006-01-06",100
"2006-01-09",100
"2006-01-10",100
"2006-01-11",100
"2006-01-12",100
"2006-01-13",100
"2006-01-17",100
"2006-01-18",100
"2006-01-19",100
"2006-01-20",100
"2006-01-23",100
"2006-01-24",100
"2006-01-25",100
"2006-01-26",100
"2006-01-27",100
"2006-01-30",100
"2006-01-31",100
"2006-02-01",100
"2006-02-02",100
"2006-02-03",100
"2006-02-06",100
"2006-02-07",100
"2006-02-08",100
"2006-02-09",100
"2006-02-10",100
"2006-02-13",100
"2006-02-14",100
"2006-02-15",100
"2006-02-16",100
"2006-02-17",100
"2006-02-21",100
"2006-02-22",100
"2006-02-23",100
"2006-02-24",100
"2006-02-27",100
"2006-02-28",100
"2006-03-01",100
"2006-03-02",100
"2006-03-03",100
"2006-03-06",100
"2006-03-07",100
"2006-03-08",100
"2006-03-09",100
"2006-03-10",100
"2006-03-13",100
"2006-03-14",100
"2006-03-15",100
"2006-03-16",100
"2006-03-17",100
"2006-03-20",100
"2006-03-21",100
"2006-03-22",100
"2006-03-23",100
"2006-03-24",100
"2006-03-27",100
"2006-03-28",100
"2006-03-29",100
"2006-03-30",100
"2006-03-31",100
"2006-04-03",100
"2006-04-04",100
"2006-04-05",100
"2006-04-06",100
"2006-04-07",100
"2006-04-10",100
"2006-04-11",100
"2006-04-12",100
"2006-04-13",100
"2006-04-17",100
"2006-04-18",100
"2006-04-19",100
"2006-04-20",100
"2006-04-21",100
"2006-04-24",100
"2006-04-25",100
"2006-04-26",100
"2006-04-27",100
"2006-04-28",100
"2006-05-01",100
"2006-05-02",100
"2006-05-03",100
"2006-05-04",100
"2006-05-05",100
"2006-05-08",100
"2006-05-09",100
"2006-05-10",100
"2006-05-11",100
"2006-05-12",100
"2006-05-15",100
"2006-05-16",100
"2006-05-17",100
"2006-05-18",100
"2006-05-19",100
"2006-05-22",100
"2006-05-23",100
"2006-05-24",100
"2006-05-25",100
"2006-05-26",100
"2006-05-30",100
"2006-05-31",100
"2006-06-01",100
"2006-06-02",100
"2006-06-05",100
"2006-06-06",100
"2006-06-07",100
"2006-06-08",100
"2006-06-09",100
"2006-06-12",100
"2006-06-13",100
"2006-06-14",100
"2006-06-15",100
"2006-06-16",100
"2006-06-19",100
"2006-06-20",100
"2006-06-21",100
"2006-06-22",100
"2006-06-23",100
"2006-06-26",100
"2006-06-27",100
"2006-06-28",100
"2006-06-29",100
"2006-06-30",100
"2006-07-03",100
"2006-07-05",99.5299946702801
"2006-07-06",99.6190123007902
"2006-07-07",99.9035335469209
"2006-07-10",99.7664039793892
"2006-07-11",99.9525078833078
"2006-07-12",100.058280606838
"2006-07-13",100.151243353004
"2006-07-14",100.376433553401
"2006-07-17",100.259436446217
"2006-07-18",100.244780762888
"2006-07-19",100.018104472385
"2006-07-20",100.337260931584
"2006-07-21",100.513292624392
"2006-07-24",100.197829010744
"2006-07-25",100.145014256965
"2006-07-26",100.364657070486
"2006-07-27",100.49269757338
"2006-07-28",99.9066396710238
"2006-07-31",100.462989626693
"2006-08-01",100.390384845733
"2006-08-02",99.9069224391962
"2006-08-03",100.568856206454
"2006-08-04",100.440314018989
"2006-08-07",100.07804442744
"2006-08-08",100.623922833292
"2006-08-09",100.650185120583
"2006-08-10",100.632893414469
"2006-08-11",100.856020549146
"2006-08-14",100.585678445156
"2006-08-15",100.171096852909
"2006-08-16",100.189761155433
"2006-08-17",100.823276196561
"2006-08-18",100.727286133244
"2006-08-21",101.090622778454
"2006-08-22",100.799065657605
"2006-08-23",100.891509015133
"2006-08-24",100.657463329366
"2006-08-25",100.853121771762
"2006-08-28",101.25937002914
"2006-08-29",101.158856648505
"2006-08-30",101.209461262126
"2006-08-31",101.397209731158
"2006-09-01",101.445319935497
"2006-09-05",101.412437160206
"2006-09-06",101.522229055537
