"Date","eqcurve_estrategia"
"2006-01-03",100
"2006-01-04",100
"2006-01-05",100
"2006-01-06",100
"2006-01-09",100
"2006-01-10",100
"2006-01-11",100
"2006-01-12",100
"2006-01-13",100
"2006-01-17",100
"2006-01-18",100
"2006-01-19",100
"2006-01-20",100
"2006-01-23",100
"2006-01-24",100
"2006-01-25",100
"2006-01-26",100
"2006-01-27",100
"2006-01-30",100
"2006-01-31",100
"2006-02-01",100
"2006-02-02",100
"2006-02-03",100
"2006-02-06",100
"2006-02-07",100
"2006-02-08",100
"2006-02-09",100
"2006-02-10",100
"2006-02-13",100
"2006-02-14",100
"2006-02-15",100
"2006-02-16",100
"2006-02-17",100
"2006-02-21",100
"2006-02-22",100
"2006-02-23",100
"2006-02-24",100
"2006-02-27",100
"2006-02-28",100
"2006-03-01",100
"2006-03-02",100
"2006-03-03",100
"2006-03-06",100
"2006-03-07",100
"2006-03-08",100
"2006-03-09",100
"2006-03-10",100
"2006-03-13",100
"2006-03-14",100
"2006-03-15",100
"2006-03-16",100
"2006-03-17",100
"2006-03-20",100
"2006-03-21",100
"2006-03-22",100
"2006-03-23",100
"2006-03-24",100
"2006-03-27",100
"2006-03-28",100
"2006-03-29",100
"2006-03-30",100
"2006-03-31",100
"2006-04-03",100
"2006-04-04",100
"2006-04-05",100
"2006-04-06",100
"2006-04-07",100
"2006-04-10",100
"2006-04-11",100
"2006-04-12",100
"2006-04-13",100
"2006-04-17",100
"2006-04-18",100
"2006-04-19",100
"2006-04-20",100
"2006-04-21",100
"2006-04-24",100
"2006-04-25",100
"2006-04-26",100
"2006-04-27",100
"2006-04-28",100
"2006-05-01",100
"2006-05-02",100
"2006-05-03",100
"2006-05-04",100
"2006-05-05",100
"2006-05-08",100
"2006-05-09",100
"2006-05-10",100
"2006-05-11",100
"2006-05-12",100
"2006-05-15",100
"2006-05-16",100
"2006-05-17",100
"2006-05-18",100
"2006-05-19",100
"2006-05-22",100
"2006-05-23",100
"2006-05-24",100
"2006-05-25",100
"2006-05-26",100
"2006-05-30",100
"2006-05-31",100
"2006-06-01",100
"2006-06-02",100
"2006-06-05",100
"2006-06-06",100
"2006-06-07",100
"2006-06-08",100
"2006-06-09",100
"2006-06-12",100
"2006-06-13",100
"2006-06-14",100
"2006-06-15",100
"2006-06-16",100
"2006-06-19",100
"2006-06-20",100
"2006-06-21",100
"2006-06-22",100
"2006-06-23",100
"2006-06-26",100
"2006-06-27",100
"2006-06-28",100
"2006-06-29",100
"2006-06-30",100
"2006-07-03",100
"2006-07-05",100.197508818373
"2006-07-06",100.498262012846
"2006-07-07",101.151324546101
"2006-07-10",101.207482407687
"2006-07-11",100.614330270336
"2006-07-12",101.605240034414
"2006-07-13",101.318951043464
"2006-07-14",101.109369479081
"2006-07-17",100.795956624094
"2006-07-18",101.082575116799
"2006-07-19",100.890466589321
"2006-07-20",101.083788526486
"2006-07-21",100.812756184703
"2006-07-24",101.108613273255
"2006-07-25",101.043719946902
"2006-07-26",101.603369974366
"2006-07-27",101.440149006946
"2006-07-28",101.873533648464
"2006-07-31",101.856406991429
"2006-08-01",102.028202420981
"2006-08-02",101.820019512869
"2006-08-03",101.02713075407
"2006-08-04",101.456779305911
"2006-08-07",102.147099548399
"2006-08-08",102.103274552343
"2006-08-09",103.391882727908
"2006-08-10",103.782807657351
"2006-08-11",103.434761140284
"2006-08-14",103.324658889177
"2006-08-15",104.413871268694
"2006-08-16",104.84206286363
"2006-08-17",105.17544062609
"2006-08-18",105.141860874624
"2006-08-21",104.702215483639
"2006-08-22",105.208369622477
"2006-08-23",105.591102011773
"2006-08-24",106.429526067521
"2006-08-25",107.465391597408
"2006-08-28",107.247819370224
"2006-08-29",107.615380701656
"2006-08-30",107.251064932976
"2006-08-31",107.031998566717
"2006-09-01",107.027308981111
"2006-09-05",107.539027767369
"2006-09-06",105.750981563406
"2006-09-07",107.288473076368
