"Date","eqcurve_estrategia"
"2006-01-03",100
"2006-01-04",100
"2006-01-05",100
"2006-01-06",100
"2006-01-09",100
"2006-01-10",100
"2006-01-11",100
"2006-01-12",100
"2006-01-13",100
"2006-01-17",100
"2006-01-18",100
"2006-01-19",100
"2006-01-20",100
"2006-01-23",100
"2006-01-24",100
"2006-01-25",100
"2006-01-26",100
"2006-01-27",100
"2006-01-30",100
"2006-01-31",100
"2006-02-01",100
"2006-02-02",100
"2006-02-03",100
"2006-02-06",100
"2006-02-07",100
"2006-02-08",100
"2006-02-09",100
"2006-02-10",100
"2006-02-13",100
"2006-02-14",100
"2006-02-15",100
"2006-02-16",100
"2006-02-17",100
"2006-02-21",100
"2006-02-22",100
"2006-02-23",100
"2006-02-24",100
"2006-02-27",100
"2006-02-28",100
"2006-03-01",100
"2006-03-02",100
"2006-03-03",100
"2006-03-06",100
"2006-03-07",100
"2006-03-08",100
"2006-03-09",100
"2006-03-10",100
"2006-03-13",100
"2006-03-14",100
"2006-03-15",100
"2006-03-16",100
"2006-03-17",100
"2006-03-20",100
"2006-03-21",100
"2006-03-22",100
"2006-03-23",100
"2006-03-24",100
"2006-03-27",100
"2006-03-28",100
"2006-03-29",100
"2006-03-30",100
"2006-03-31",100
"2006-04-03",100
"2006-04-04",100
"2006-04-05",100
"2006-04-06",100
"2006-04-07",100
"2006-04-10",100
"2006-04-11",100
"2006-04-12",100
"2006-04-13",100
"2006-04-17",100
"2006-04-18",100
"2006-04-19",100
"2006-04-20",100
"2006-04-21",100
"2006-04-24",100
"2006-04-25",100
"2006-04-26",100
"2006-04-27",100
"2006-04-28",100
"2006-05-01",100
"2006-05-02",100
"2006-05-03",100
"2006-05-04",100
"2006-05-05",100
"2006-05-08",100
"2006-05-09",100
"2006-05-10",100
"2006-05-11",100
"2006-05-12",100
"2006-05-15",100
"2006-05-16",100
"2006-05-17",100
"2006-05-18",100
"2006-05-19",100
"2006-05-22",100
"2006-05-23",100
"2006-05-24",100
"2006-05-25",100
"2006-05-26",100
"2006-05-30",100
"2006-05-31",100
"2006-06-01",100
"2006-06-02",100
"2006-06-05",100
"2006-06-06",100
"2006-06-07",100
"2006-06-08",100
"2006-06-09",100
"2006-06-12",100
"2006-06-13",100
"2006-06-14",100
"2006-06-15",100
"2006-06-16",100
"2006-06-19",100
"2006-06-20",100
"2006-06-21",100
"2006-06-22",100
"2006-06-23",100
"2006-06-26",100
"2006-06-27",100
"2006-06-28",100
"2006-06-29",100
"2006-06-30",100
"2006-07-03",100
"2006-07-05",100.00023811227
"2006-07-06",99.3531222156933
"2006-07-07",99.6724154661534
"2006-07-10",100.126912706247
"2006-07-11",99.7443592546627
"2006-07-12",100.057858494438
"2006-07-13",100.665218324868
"2006-07-14",100.961948928453
"2006-07-17",101.451341753913
"2006-07-18",102.631036060612
"2006-07-19",102.237542699661
"2006-07-20",102.01767482957
"2006-07-21",102.071312784818
"2006-07-24",102.522464420219
"2006-07-25",102.479845401114
"2006-07-26",102.093361014808
"2006-07-27",102.251727452618
"2006-07-28",102.941649665005
"2006-07-31",103.325599288115
"2006-08-01",103.827007658218
"2006-08-02",104.567482767848
"2006-08-03",104.427775138291
"2006-08-04",105.140614946162
"2006-08-07",105.404353634075
"2006-08-08",105.244404846486
"2006-08-09",105.973206002283
"2006-08-10",105.51290423019
"2006-08-11",105.68813723521
"2006-08-14",106.099574085086
"2006-08-15",106.126737484464
"2006-08-16",106.806893245626
"2006-08-17",107.177208757534
"2006-08-18",107.180457804354
"2006-08-21",106.820384676751
"2006-08-22",106.792209098294
"2006-08-23",106.944368025563
"2006-08-24",106.465297969679
"2006-08-25",106.429161501731
"2006-08-28",106.313185548381
"2006-08-29",106.068037757396
"2006-08-30",106.209728897733
"2006-08-31",105.967074638634
"2006-09-01",105.66721882537
"2006-09-05",104.994383096387
"2006-09-06",105.012838788236
"2006-09-07",104.426018996687
