"Date","eqcurve_estrategia"
"2006-01-03",100
"2006-01-04",100
"2006-01-05",100
"2006-01-06",100
"2006-01-09",100
"2006-01-10",100
"2006-01-11",100
"2006-01-12",100
"2006-01-13",100
"2006-01-17",100
"2006-01-18",100
"2006-01-19",100
"2006-01-20",100
"2006-01-23",100
"2006-01-24",100
"2006-01-25",100
"2006-01-26",100
"2006-01-27",100
"2006-01-30",100
"2006-01-31",100
"2006-02-01",100
"2006-02-02",100
"2006-02-03",100
"2006-02-06",100
"2006-02-07",100
"2006-02-08",100
"2006-02-09",100
"2006-02-10",100
"2006-02-13",100
"2006-02-14",100
"2006-02-15",100
"2006-02-16",100
"2006-02-17",100
"2006-02-21",100
"2006-02-22",100
"2006-02-23",100
"2006-02-24",100
"2006-02-27",100
"2006-02-28",100
"2006-03-01",100
"2006-03-02",100
"2006-03-03",100
"2006-03-06",100
"2006-03-07",100
"2006-03-08",100
"2006-03-09",100
"2006-03-10",100
"2006-03-13",100
"2006-03-14",100
"2006-03-15",100
"2006-03-16",100
"2006-03-17",100
"2006-03-20",100
"2006-03-21",100
"2006-03-22",100
"2006-03-23",100
"2006-03-24",100
"2006-03-27",100
"2006-03-28",100
"2006-03-29",100
"2006-03-30",100
"2006-03-31",100
"2006-04-03",100
"2006-04-04",100
"2006-04-05",100
"2006-04-06",100
"2006-04-07",100
"2006-04-10",100
"2006-04-11",100
"2006-04-12",100
"2006-04-13",100
"2006-04-17",100
"2006-04-18",100
"2006-04-19",100
"2006-04-20",100
"2006-04-21",100
"2006-04-24",100
"2006-04-25",100
"2006-04-26",100
"2006-04-27",100
"2006-04-28",100
"2006-05-01",100
"2006-05-02",100
"2006-05-03",100
"2006-05-04",100
"2006-05-05",100
"2006-05-08",100
"2006-05-09",100
"2006-05-10",100
"2006-05-11",100
"2006-05-12",100
"2006-05-15",100
"2006-05-16",100
"2006-05-17",100
"2006-05-18",100
"2006-05-19",100
"2006-05-22",100
"2006-05-23",100
"2006-05-24",100
"2006-05-25",100
"2006-05-26",100
"2006-05-30",100
"2006-05-31",100
"2006-06-01",100
"2006-06-02",100
"2006-06-05",100
"2006-06-06",100
"2006-06-07",100
"2006-06-08",100
"2006-06-09",100
"2006-06-12",100
"2006-06-13",100
"2006-06-14",100
"2006-06-15",100
"2006-06-16",100
"2006-06-19",100
"2006-06-20",100
"2006-06-21",100
"2006-06-22",100
"2006-06-23",100
"2006-06-26",100
"2006-06-27",100
"2006-06-28",100
"2006-06-29",100
"2006-06-30",100
"2006-07-03",100
"2006-07-05",100.21252356864
"2006-07-06",99.6553377343953
"2006-07-07",100.454999098037
"2006-07-10",99.8984890671523
"2006-07-11",99.9625842530113
"2006-07-12",100.365190771969
"2006-07-13",101.255307849092
"2006-07-14",102.498990874271
"2006-07-17",103.15336178331
"2006-07-18",103.04183129532
"2006-07-19",103.285934508109
"2006-07-20",103.849516302998
"2006-07-21",105.126297677944
"2006-07-24",105.429953925257
"2006-07-25",105.446765373677
"2006-07-26",105.182412205787
"2006-07-27",105.892894476481
"2006-07-28",105.2460044583
"2006-07-31",105.458791971503
"2006-08-01",106.605684113747
"2006-08-02",107.039828111352
"2006-08-03",106.713805037821
"2006-08-04",107.005314217813
"2006-08-07",106.480019626046
"2006-08-08",106.325005158239
"2006-08-09",106.020498501901
"2006-08-10",106.29750651592
"2006-08-11",106.068409443531
"2006-08-14",105.560351791956
"2006-08-15",105.516496192136
"2006-08-16",105.439846792925
"2006-08-17",105.53190242263
"2006-08-18",105.211648838854
"2006-08-21",105.212184909946
"2006-08-22",105.481665669386
"2006-08-23",105.311860994531
"2006-08-24",105.206848909869
"2006-08-25",104.807828232477
"2006-08-28",105.034547237891
"2006-08-29",105.289593778313
"2006-08-30",104.249515833762
"2006-08-31",104.281965971376
"2006-09-01",104.314457611145
"2006-09-05",104.364155788481
"2006-09-06",104.763621477974
"2006-09-07",104.894521324493
