"HIBB_URBN","PRDO_SHOO","UEIC_WGO","SHOO_GES","SHOO_RGR","MCRI_PLCE","DORM_PATK","DORM_PLCE","DORM_SIG","PATK_DORM","PATK_CAKE","PATK_CHS","HIBB_UEIC","MOV_GCO","MCRI_RCII","DORM_CAKE","DORM_WWW","DORM_STRA","RGR_THRM","URBN_PATK","RGR_ANF","CVCO_MOV","MPAA_THRM","SAH_HIBB","GPI_SIG","MNRO_BIG","BKE_BIG","ANF_JACK","SHOO_SNBR","HVT_ATGE","ATGE_MHO","EAT_ODP","ATGE_ODP","MNRO_WW","WW_MNRO","SMP_GPI","GDEN_SHOO","SMP_HIBB","HVT_PETS","GDEN_AEO","HVT_SAH","BJRI_BKE","SIG_ANF","PATK_AEO","ABG_GCO","SCVL_PLCE","MNRO_BJRI","PLCE_SCVL","MNRO_AXL","SAH_AEO","MNRO_DORM","RCII_HZO","PETS_SAH","CVCO_GIII","PETS_ODP","RGR_SIG","PETS_CAL","GDEN_CRMT","BBBY_CAKE","SNBR_ETD","PETS_OXM","PETS_MCRI","MDC_GIII","SNBR_BJRI","MDC_BKE","CAL_RCII","HZO_CHS","BIG_PATK","GCO_ODP","ATGE_CAKE","CAKE_ATGE","PETS_GPI","HIBB_MDC","MDC_HIBB","DIN_SHOO","HZO_MHO","CVCO_BBBY","HZO_PRDO","EAT_SHOO","DIN_ODP","HIBB_PETS","HIBB_MOV","GES_ABG","MOV_HIBB","SIG_MDC","SIG_SAH","SIG_ODP","HZO_WGO","HZO_GPI","HZO_PETS","DORM_PRDO","WW_EAT","DORM_RCII","PETS_ATGE","PETS_RGR","PETS_PRDO","PETS_ABG","PETS_MTH","DORM_THRM","WGO_HVT","SNBR_EAT","WGO_WW","HZO_MTH","MHO_HZO","AEO_GCO","GCO_AEO","THRM_LZB"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
106.473846856206,114.545896925405,109.613629195965,106.900740555535,111.288365231631,101.659683311493,103.86832517545,108.96868051589,106.519486029718,100.451406323864,103.470109400868,108.501515070001,104.125763945716,102.421017617563,95.1990679176341,114.884053708617,99.7332054248422,126.500518200716,97.382879630509,96.050162284585,87.6880833055429,96.6011233989827,104.263759696843,97.1564966986595,105.560048700659,102.061310746148,99.9470682416798,98.7519612812246,91.0962815033202,101.016697885615,107.359737565759,110.763404753736,87.8964656580543,107.88708284062,92.4471581205614,103.75990596581,124.518976518621,96.9093485709552,86.0045958129497,112.522695232022,92.3659535377262,93.3072202346644,100.219467221403,102.267985452182,95.6742151218038,90.6229285942658,111.598679860725,99.9874349717812,107.053925729792,99.8081778808908,96.9957679592453,91.7370342680141,99.2245029764809,103.557863064535,99.8641612722052,87.3009829236957,94.914425854023,95.685515222729,96.5110056214916,101.811043197705,94.0422094834014,84.722716105664,113.414393055126,91.4420107882077,97.1988272159227,94.9103405920326,103.321666401938,108.591052351758,110.859638785596,110.479994169817,97.2500295572605,96.9573559167738,102.738684212536,99.0873295703987,88.0331139020912,109.772007562898,100.958995752496,105.564411156776,108.031733181087,89.8697666764406,109.974627994632,99.0204007223695,89.0302703102629,101.073272084787,99.0583924651489,106.005162042309,108.041245790469,120.682942229262,107.290700295413,104.348997273959,106.44620643841,95.6833928256586,105.201192186246,88.1307531115349,105.121936843494,94.838551118316,95.6550788306189,99.2770034015548,121.41844127562,89.5009033756439,107.514888029028,101.611399530933,115.16975426494,98.1721631929397,101.374445579137,102.168132700396,105.194003947777
105.42432168056,111.998994044623,112.966516183146,100.170486683242,100.487256672902,105.160790411524,99.6743869739232,107.332637461257,101.747611408323,104.169778871746,107.026507847379,115.236387793024,110.914054450192,104.32690789671,95.7009721576512,114.235244262418,95.4266108462549,116.924300734282,106.459898036697,97.7272187529863,83.1510767950383,92.3213945154825,107.293121193972,88.6807378413026,101.923159501717,100.416951263341,99.5443703588602,107.578302002328,84.468281690067,101.369446372349,110.802038979115,111.320627280748,82.3119469451458,120.25049748708,93.9756781477825,103.248953737959,111.49476704173,101.634654279263,79.3966618872708,101.214535395714,88.9696730307976,94.9120728842208,92.3696436964835,103.18411241141,98.5814296317097,107.544941711439,108.354366754153,115.795232397544,101.98849804199,92.8142462354991,89.2504496286219,96.8073504059762,94.9562214105312,92.3998073810536,97.8404848306636,92.0782779399252,86.1355200793135,101.268953128855,96.625204162633,101.75239294853,89.5190366045227,79.4391931428643,113.396420038479,92.791952212101,99.300962293483,98.0232203684133,108.049057942515,107.669580473146,109.97479932598,112.957415862843,92.5499752701843,93.4658172611299,105.920428193359,109.721474512146,94.3223765321707,109.693124451044,90.2761345504471,109.127666571619,104.803425132453,83.5249839849887,124.990981832128,108.268519952306,92.3531805929772,92.0757149215118,98.8639204719294,103.561975429063,113.122867993247,129.187388283186,111.720098745638,91.908254242969,99.2380065808375,91.0968177340029,100.795086465299,80.9928430655886,93.0207627184754,90.9564935160894,91.3774368578869,87.1183828056297,103.058939254953,97.2508462621266,108.328580321092,97.7373348807302,113.917431554155,93.2590198545973,103.5387120507,92.1650990007445,112.317963199779
110.008423407575,107.83127341926,114.136336844091,100.976121265928,99.8726475612987,106.668829640345,86.0971938202894,110.339572315309,102.100244273007,142.783149803152,130.027287710369,126.203741995072,110.312370144186,101.148742319609,92.6812450012913,110.354949825089,91.7330949975606,116.292795104066,122.275444941215,103.7268974512,79.9166720156245,86.8211664724135,122.075764190159,90.7011633982499,101.205011791995,103.209027142449,103.062502470564,109.156980999131,86.9839295229969,98.8705608772331,107.341338149806,112.40042938986,83.8387664197361,119.594243838187,92.3535557291572,94.7312025733881,101.451773952323,89.8754763299991,78.4945960963487,98.919213131079,90.212541832778,89.7926621845327,93.181712128602,119.419788369202,95.3449588605817,101.591204658984,107.178121383972,109.384720521403,97.78485194164,79.1561914132938,91.5050453927558,98.6762988993741,92.6026744705576,94.3219492819404,97.292479802077,89.5142178062764,82.7547379352827,99.395268635907,99.5612438614086,104.013006305285,88.0037314900434,75.2992296261969,108.018116838542,95.9639281480521,90.8717725453348,98.7081035324898,100.096302570001,89.4498478471645,112.91638723785,119.112066134803,90.6245453726343,90.048938716181,110.44832700261,107.719373044384,90.4539788973891,106.324270042765,86.2848465898765,108.900426880404,106.54897473171,84.3818697692803,133.091168472727,106.140320325071,92.1587238784232,89.5810407408719,93.1839862917881,101.646138177758,114.004385568616,126.520485248497,110.007283998569,87.4104954804944,100.151963907017,95.9641139611002,99.0615665456505,82.1025364575058,91.3541085668939,86.5129507307378,91.3385474188114,86.2184564420228,86.925733188982,104.011212622695,109.304354372804,99.9045442060573,109.151516714254,90.3948838648084,97.6627058704129,86.9345547323392,94.1902695986624
116.786374562412,101.259917393459,121.29448432048,107.255462221849,83.7857333155184,103.601200091376,92.9164825580502,104.220637436143,106.630819537836,145.950089665904,141.24838700302,135.419084945595,101.267065555772,100.189951486473,101.757818803344,108.927137977939,95.4735141849723,124.514840770107,124.174330267145,101.489777450496,81.9566548385267,80.3733605471962,129.714483995803,93.5732139126816,100.614507443962,99.126139654911,101.098585038582,106.089250262569,85.7559686219556,90.5811321474493,102.697028216399,125.465499451997,94.4935849999105,119.06996003769,97.8316862333719,96.3298110754601,91.7680951201563,83.9028541046406,75.0869773787465,94.9772364656458,90.2280404708105,90.8813488516029,90.4657204031183,116.966562604556,95.2390926828779,113.209977710732,112.47228599705,120.584770585382,92.4780902467349,77.7891002686644,89.1036190497019,96.7572060917436,88.6119750847418,85.8066650235256,89.8403106053065,95.8339825892482,78.6605236287977,100.685387873298,95.8055426754135,108.492307269306,88.0571375308592,77.2505495894339,105.454957543859,97.3862409772778,93.0731269174291,100.618314228672,94.8684819121084,96.8414391837941,110.040321855113,114.668361769332,97.7371002352414,86.2549507366733,94.4241662898358,100.641075474945,88.362215164025,114.593222822887,82.8071224638897,107.121193569456,100.665586564446,94.1794058065067,130.736265193317,94.2729246131184,80.491553597817,84.5319054646019,99.3867201165313,101.224597189674,117.454806278504,123.470744734939,108.114713606443,82.3969209897979,104.354337738807,95.7804920899064,105.947831398416,85.7146843848717,78.1072943562763,82.7747081604536,87.1171040569677,74.561073653086,89.6060097117881,104.64501361188,114.576250635703,99.6573154418633,118.647419125965,98.6456777408722,97.9620505060419,87.2010145812226,88.3922421424434
