"SLP_OFIX","BLFS_ZYXI","BLFS_MDRX","NEO_HSTM","MDRX_MD","HSTM_NEO","AORT_RDNT","MLAB_MD","CRVL_USPH","LGND_INVA","INVA_LGND","NEO_MLAB","NUVA_HSKA","CNMD_MMSI","MODV_AORT","ANIP_CNMD","OSUR_MLAB","ANIK_CUTR","BLFS_ANIP","ANIK_OFIX","BLFS_NUVA","NKTR_MDRX","SRDX_RDNT","MLAB_CCRN","BLFS_OFIX","BLFS_CDMO","INVA_RDNT","BLFS_CPSI","BLFS_ANIK","BLFS_ITGR","BLFS_AORT","BLFS_HSTM","CRVL_NUVA","BLFS_CYTK","CRVL_MD","CYTK_AORT","CCRN_AMN","CCRN_OMI","CCRN_OSUR","BLFS_MMSI","BLFS_NKTR","BLFS_SLP","BLFS_LGND","BLFS_CYH","ZYXI_CUTR","CRVL_BLFS","NXGN_HSKA","BLFS_MODV","BLFS_USPH","BLFS_HSKA","CPSI_CYTK","CDMO_SLP","MLAB_CRVL","VCEL_ITGR","HSKA_MODV","VCEL_OFIX","ZYXI_CRVL","CRVL_ZYXI","LGND_MLAB","SLP_NKTR","HSKA_ANGO","CUTR_ANIK","BLFS_NEO","ZYXI_NXGN","NXGN_ZYXI","ZYXI_DVAX","MMSI_USPH","ZYXI_MDRX","HSTM_MD","BLFS_MYGN","SLP_CRVL","NUVA_CORT","CYH_RDNT","CRVL_NXGN","LGND_CNMD","CCRN_DVAX","DVAX_CCRN","AORT_SRDX","BLFS_INVA","CORT_LGND","CORT_SLP","CORT_CRVL","CCRN_CNMD","AMN_DVAX","CDMO_VCEL","OMI_AMN","OMI_CYTK","OMI_MLAB","MLAB_OMI","CCRN_MDRX","CPSI_MD","CPSI_RDNT","NXGN_CDMO","ITGR_MYGN","ITGR_OFIX","OSUR_SRDX","ITGR_CYH","CYTK_OSUR","ITGR_OSUR","SRDX_VCEL","CDMO_OMI"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
94.3662147604451,135.126379343273,147.049080036425,169.091359013662,110.808972604544,112.670209550222,86.0768127971718,109.465394522434,105.595102960438,104.79329311025,86.1074736442022,116.467147906755,109.693604253464,110.827578819575,94.4626826451006,102.726101606933,93.153738605202,96.5242347598293,101.910914844176,103.785371661226,114.892871371213,95.2332109540453,90.2051197813515,111.078273297268,101.932436803125,111.591526595397,91.9342978380875,135.431130010849,105.85777691109,100.538603514786,107.554452074092,132.562933863192,117.968433975299,112.138692636519,116.31545497901,107.408504984083,100.124414161904,90.493721196192,98.7353290823476,143.719508597939,104.891367119941,95.1351194544326,106.457846063351,102.071390112383,117.615710996693,93.6562449401901,112.076287510662,105.217461330812,117.248264456784,116.42255358315,112.752315068168,115.411080817422,117.606630585723,100.962248886416,110.824243191079,102.379876498778,108.583252486798,141.034842172467,97.6134306149947,90.3631969065455,107.5995899391,98.0301914618501,113.71186437188,115.672961067967,81.627015625688,110.323230947276,92.5075029137586,105.01841677065,103.736525643275,105.420480237349,90.8508682868093,98.3469703937502,86.2038724937957,105.83904904284,92.9350364120158,99.5736907945179,100.118595424622,94.9581775899216,111.121535768296,102.172414371096,90.8509690309923,99.271408383359,92.7496972759656,99.3262351021417,117.073556975731,113.360942559048,117.123710333678,103.327633638582,110.597789597074,94.6348991125102,103.971080021839,85.8250496715604,99.913799628282,105.048772801276,101.233919989939,90.3133242573382,100.927480161962,92.1479951200602,95.9940562682594,104.528931669694,103.941858976836
92.7034860429665,184.079087325016,185.809637104858,330.577654164782,107.027443413359,115.090580074021,81.4375622750626,116.651967203844,97.479978022911,106.531902350809,87.5360697334432,179.077352553479,104.216005306554,108.335048059187,91.0787567439974,102.390492399966,95.1041769889699,90.4915559534696,96.1790377012203,115.982233017494,176.336480183399,102.014046887653,80.10179250931,115.946056456876,97.5537113591366,102.231118075774,103.409167495746,121.073395392457,101.807497193981,97.4467775513661,103.21398158386,131.13982985785,109.781489211136,102.222173154481,115.424186746585,113.54192221366,96.2098618723654,89.3102588543849,92.666713021177,153.005354966298,95.3730981887406,89.9713165495784,102.107643998041,95.103413548967,102.185083548595,166.823853537231,100.813602318296,105.44917696096,124.198079110192,107.247617962435,114.433086651243,114.759349180712,128.913279100412,109.271367522667,119.631279765255,109.454706160803,83.3249177140374,138.158697300647,84.8644869321704,93.2957764652218,109.098211336523,91.9033917012847,117.391362376292,100.924081903948,91.218228968098,102.370466294678,93.3038882206615,88.2631807466333,97.4790635803023,106.766750760115,94.8360186884591,93.2664419476337,98.2687410413261,132.327418851328,88.5780591584751,112.807159846194,86.5300286982374,97.6798046360136,147.50757567221,106.045155636025,92.2291405706827,96.1799043718739,91.8307432734643,117.279381025068,109.576587779092,112.281134952428,108.520566440748,102.501327137355,116.515048238891,97.308334195532,112.122345356379,101.530636438993,89.8544048676939,109.567289156211,99.8448675321989,93.4159184722602,96.8720115424543,89.8002864313943,118.823167305903,99.7689201811255,101.874002634313
103.970825229541,127.038072511803,227.409134642823,307.902791879689,107.860937288546,107.998757242143,83.7578494348731,122.213647446505,99.8471540122148,120.295314007299,98.8453117105352,152.564741096474,114.177223686595,104.780938746348,84.2889280234754,97.2284011749941,95.7866584831225,84.3230816932799,89.221137857101,114.654161872362,168.548695578238,102.582206045541,70.85994090063,135.448966648972,95.7575854820255,109.93788900629,98.9001558835577,122.928572825875,93.0362178142218,99.7549319831042,104.413242118486,130.241820388598,110.59184508997,115.6189194607,114.068663718273,105.712715422008,98.3401762307726,92.5648312888362,95.6412958699289,170.136666806723,104.126285691546,86.9324721511841,105.996379267442,99.1168195565485,87.8886246100068,168.254637011935,106.510832535091,106.313122121355,148.17958570079,113.290518133291,112.549902125183,104.306932969664,139.511619092402,126.22673867962,110.548517460306,119.503318465218,69.8309590440001,115.784744797276,82.0154307991382,97.2400145949276,119.593372272241,85.6386778264895,114.785349700852,86.6838153863148,103.803882897355,85.0622938875755,90.6775784921147,73.9376037880219,104.959719732677,111.102452030471,98.4598483950491,88.689814468269,94.5360310621458,128.675381217677,105.569461685303,114.726385397389,84.8410848970204,105.299046071019,120.446357910082,127.17661978314,100.702847000014,101.182313571547,91.5522196774039,116.556959367742,113.272282168738,113.044380273113,107.443809516961,105.139718867785,122.22635617741,100.218195487458,112.611963420724,89.8750748341085,82.8291215757083,109.956442682249,93.1698861031365,94.2834562031072,94.8962241874023,89.4431016421877,114.52611958975,89.6504658307721,95.6178224323912
99.8830208119274,122.692731727676,229.231212222274,344.208849644386,114.336233416972,82.1560474769821,68.6329087742495,120.628667036881,95.9443746213967,117.545297343168,89.6844321628969,165.62123337487,132.225538315885,117.313017547974,80.9579320519765,99.9792362177216,83.856975200216,83.1054647018444,88.3133041552329,124.894660398075,164.708686703309,115.012417704386,72.7000180772462,134.534655155289,97.8138136192958,102.266679363253,101.974760845887,113.071793310281,86.0737409500731,97.4851885920182,102.854672061547,161.692094750519,109.069132306431,110.015854329125,109.297664856623,107.90324698556,108.421674500393,96.7187065697662,99.8404657310513,195.612050798545,104.666599010935,92.2739281312236,108.816083572174,96.5804091748131,91.782249221796,191.084373357526,121.404107852223,100.345509074394,141.236603520758,94.725887113874,107.241964419701,118.074392318403,136.145283806042,128.04746993903,97.3264877471918,126.803666923365,67.9516896077593,112.668781117852,83.8193289803989,91.8769468761384,152.452739992879,84.402063756514,92.6653140983411,86.6221995416563,101.603496338944,80.9232945663335,90.0610436000946,70.5450891356543,93.6072316951024,123.668823150366,91.6493480159531,90.0818172887208,105.450669863452,124.912368291917,104.946646962232,108.711094904927,88.4483687363424,100.046536327171,112.595121580241,158.258691496618,90.2514906349965,115.529576750832,85.5745973161611,106.100713597261,115.739259679147,119.772768526478,95.8527751030047,115.151829361155,121.242958653609,107.12467750685,124.091144175304,91.3724700990979,85.153478134685,106.186048318187,88.7916828108635,88.2274883055203,95.0534560033033,97.0363693485074,126.312873119725,87.1231689996993,96.8531075517946
