"AAON_HNI","HNI_AAON","NPK_AIT","B_TBI","WNC_GEO","WNC_MOG-A","CIR_TRN","MOG-A_WIRE","KELYA_POWL","SXI_ABM","TBI_NPO","TBI_UNF","MATW_MLI","PKE_TBI","MLI_MATW","HCSG_HSII","ROCK_WNC","HCSG_GBX","TBI_AAON","TBI_AMWD","ALG_BRC","IIIN_B","IIIN_ABM","NX_NPO","ASTE_NPK","GEO_FORR","HSII_UNF","ASTE_UFPI","MRTN_TWI","DXPE_RGP","WNC_TGI","KAMN_AIN","WNC_GBX","ASTE_HUBG","ASTE_ALG","ASTE_DLX","SKYW_NPO","AIR_UNF","HUBG_WIRE","WIRE_HNI","HNI_WIRE","B_GBX","HUBG_MRTN","HUBG_EPAC","WNC_TRN","FORR_WNC","AAON_AMWD","CIR_AIR","HUBG_TRN","MOG-A_ARCB","ROCK_AIR","HA_AAON","AZZ_FWRD","AZZ_SPXC","ROCK_SXI","GEO_HUBG","VVI_TWI","RGP_GVA","FWRD_VVI","GBX_DXPE","ABM_FIX","IIIN_GEO","IIIN_SPXC","CIR_DLX","FORR_DXPE","UNF_TGI","MRTN_HCSG","UNF_ROCK","B_NPO","SXI_IIIN","MOG-A_ROCK","ASTE_HSC","ABM_AJRD","GFF_ARCB","AAON_TILE","IIIN_TWI","IIIN_AMWD","EXPO_SXI","AIT_MRTN","HUBG_IIIN","HNI_APOG","ARCB_EPAC","UNF_IIIN","PKE_IIIN","IIIN_DDD","IIIN_TRN","HNI_DDD","WIRE_BRC","FSS_GFF","HA_HNI","SKYW_DXPE","SPXC_UNF","DXPE_SKYW","POWL_EXPO","TNC_EXPO","KFY_GVA","MOG-A_FSS","NX_ABM","MOG-A_HNI","FELE_MLI","MATW_MRTN","MLI_FELE","MLI_MATX","SXI_CIR","KFY_VVI","RGP_MLKN","KELYA_DXPE","MLI_AIR"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
105.388137741959,100.655816758368,97.2485047744485,115.752326605816,94.1369576772806,96.848895483307,98.9317413138297,112.168064803122,97.8975334205112,97.6630267647232,98.900370278286,99.9213741359423,104.670268857287,100.13396716764,98.9779987145181,111.496786804241,86.8299235464301,107.974486998488,100.053914697241,104.176499643888,98.3783394605822,95.7535287397782,95.0458153525945,98.4174064441807,88.2706952843694,102.868825365632,103.812579870126,96.1805332571686,89.0344076496352,65.1607355517484,88.9974199952467,100.458445940579,93.1998019144454,96.9495629214965,93.9786515604944,97.1142164147245,95.1140709165593,95.4489067575672,113.710317844927,95.3306656275211,104.59793760272,101.658245950777,106.158643026869,113.995723256125,90.0095401616016,91.3882058675037,103.935647311633,103.262855240829,99.9367052115188,102.952684228979,93.1516679316751,99.7404805598328,108.795826960333,101.379705057978,110.409438851654,110.393733881391,94.0771795715372,106.997307939293,98.2069589781863,69.8526141080396,109.681203740252,110.096262370449,104.330214370896,101.309768725029,159.630903984939,105.021359360035,87.6194268103474,110.040964736608,100.03757067755,103.618715197738,113.530357765753,92.5933878341736,102.506363104786,95.6187115420468,107.859458792261,108.640813266156,114.320886028236,99.8906799759264,103.521417245449,104.840649253793,106.884996321397,113.042649218243,102.785576192471,103.648790831374,111.055633681016,98.6182930641318,88.6954650518406,93.6448654125132,100.421813808928,96.8579630468342,137.125475806996,99.8401001869706,61.15462872781,92.1464530486369,96.3671287541401,96.6387654921544,105.685553301324,95.4309449931326,105.163692598424,112.058269894923,109.861551496701,109.807772734554,96.9384943481355,105.871931379567,102.849458807726,87.9800729233171,147.098769186919,103.633460998378
102.942046854561,98.3195504721152,96.4083438305182,122.945178119803,91.601966717499,95.3100966583358,101.918049140419,109.529607681263,98.3477228583711,96.8954671366916,107.427881994084,95.8316560897246,97.8578755319205,102.346640956168,95.5785674429746,116.472252164965,89.9342992024033,107.359967176223,99.4118930629841,109.872432655672,104.419008880753,94.499671010264,93.5219526388456,106.893538821195,85.0316781756703,104.656349750185,111.729623269865,96.9223751186049,91.4766185148529,57.9735225946117,88.5491930940359,91.568839260324,91.7002467222337,95.4173887609629,91.8886128691162,93.7167087870979,93.9154758024909,90.5619240801941,108.639292680086,97.0811708547404,102.465273495293,100.56216978737,103.115332569398,106.447424443709,88.0246257569652,87.2855690256383,114.402415289341,111.721304048094,98.3102250452723,102.245228149535,97.0328544437518,91.2525628548208,102.669928245268,91.7288824116711,108.774047767784,109.141233794079,98.7328717372057,100.354657534685,94.6857320557087,75.6660746335732,112.357690603396,118.070116875759,106.091289483794,103.883904944823,176.353844034909,110.220662078427,88.5031378600695,110.778635503087,105.38407577235,110.339497791854,107.62682544134,88.02214445794,98.3735067317528,95.1181346973479,110.25825188184,110.444554519235,120.554405290224,94.0752305143552,101.983220153452,104.505090391746,108.163027498451,113.728750558509,119.899526239453,110.238243748347,119.250841759816,99.8752360510593,90.6702123426022,91.4440030398254,101.175341280119,90.237684242634,135.98485084562,102.353979804316,59.2281309513617,94.9230546367709,95.2603142535228,92.0391412211538,104.504756186589,95.3929585395178,105.357011062308,107.572938882693,107.476731965199,105.412535660657,92.500243105872,100.496281835891,101.426607997065,86.6586175756578,162.089932570946,108.125624692725
101.375033546919,96.822904713706,94.2612785116168,122.743291586798,91.2237003616271,95.7960360411298,103.312581730361,121.494906825339,101.002412479238,94.0913928103222,99.7573455240776,85.0591740684066,103.528781205661,110.219196822573,97.533445348389,115.398026943268,84.2609813753326,116.180461323871,93.9728693369289,97.7368227541878,103.111462153104,92.4401459996982,91.8457950404576,101.595878516701,86.6261883516537,106.928365490401,106.516053849779,103.529759335805,90.2372881792347,48.931396220864,88.5835595103684,99.9239786232984,82.9714695235178,106.04674583077,94.3852791384453,97.9671672415223,87.0906467220832,86.3506025983634,109.196471129508,92.0968170120559,107.631361868783,105.745471851152,97.9575377039862,105.056936491729,82.2992279795198,84.9938355216275,107.653077622928,107.781861804071,95.7127850547089,98.8394329730823,92.3951455813338,81.8006617441332,104.287877169415,91.8252733869042,109.422975463036,99.5540229361038,104.318666719392,99.8250530218838,89.9451599076864,82.879729553497,113.40811633827,126.566226621296,102.414430426674,101.757214144708,146.876837045706,105.493154341243,89.1561393777717,100.12955728345,102.117065518897,105.435967288597,113.454279853996,96.8464102014253,95.3963522130818,98.7046934558848,98.8902214553975,118.465377572173,125.413975580495,91.3904666175349,103.349652716187,101.539025037581,109.246829160893,122.651519711604,129.555502525047,108.68021329173,113.629649389235,103.483223410051,88.2019204659654,84.5797696438513,98.7862792377306,79.7051313162825,150.410112191076,96.0659128217121,52.7259490561731,97.5273097963117,93.8151433409695,82.3978718889548,111.085642291849,93.8872067404029,99.7152372051724,111.561700147382,112.06312855709,109.321196995262,94.4211224466504,97.6290260328492,106.436129992905,86.1332257029194,186.339718781466,103.823491591107
113.7861788974,108.676801499512,99.009829785135,128.581931257454,96.9664421404306,92.5670298524667,98.7316146083988,139.623613759689,97.8400754631891,97.5904486893976,95.0986893324203,88.5441935858786,98.0480113292188,108.683951902501,99.6346297858583,116.868847529352,85.9993332030133,106.967672922036,94.7719870701437,98.0454760307447,105.73379993715,88.9213713697022,87.3877743345668,104.926712768199,87.3537894581925,99.6621437772539,120.276061983017,101.605327653684,100.447896930521,56.8961063855573,88.4499939187541,94.9946975823242,87.9299532657647,105.427315946137,93.3389674168654,89.1207542047185,75.9141790481506,89.2348250640823,126.014952512163,71.5276116010354,136.964124963658,97.279800556127,100.617402773463,107.254629782402,81.971899595267,85.2984501272796,113.663313791391,102.172765411424,93.0278574361539,93.3498291382789,101.606766050866,80.5088558120254,115.807825629205,95.4875465323065,135.048279514152,90.406612453171,91.6478028341109,103.410206545935,94.215837280592,74.4491308143615,114.187219041296,111.935268602292,96.4032223087535,91.2316589751311,167.341574098675,108.598900791353,85.577680981112,105.243248362259,94.3129645311889,104.072143092785,112.518056996154,95.9547974002793,96.6498700526119,110.767352706899,103.061891425083,143.703918571163,117.261459684472,96.6895370062914,110.265767386149,103.748551264218,118.341195195338,124.464973939809,125.996323549493,114.364941276365,99.943701919825,108.53492844048,88.0954003515255,70.427160097237,98.4401709101466,83.9055851659328,117.266411522595,99.2721138350588,65.0748803660662,95.1778978218933,87.1402705329642,89.1987428258321,109.673892156513,97.6979350393712,110.317536782925,108.253639126768,119.260593170056,106.079568741689,98.094810291173,97.4331158844681,105.966956450562,83.2895660423623,160.57789556517,109.418880155984
