"VECO_AEIS","VIAV_CEVA","UIS_RMBS","PLUS_SCSC","PLUS_LPSN","FARO_SANM","DGII_CSGS","AVID_ADTN","CSGS_DGII","SCSC_LPSN","RAMP_CNXN","TTEC_UIS","EGHT_AEIS","PLUS_CMTL","AGYS_CLFD","AEIS_CEVA","AEIS_EBIX","UIS_EBIX","MEI_EXTR","MEI_FORM","VECO_ACLS","TTEC_AGYS","TTEC_ROG","TTMI_SCSC","OSPN_AEIS","MEI_UIS","BMI_AEIS","TTEC_NTGR","ACLS_PDFS","PLXS_NTGR","PLXS_BHE","PRFT_RAMP","SCSC_ROG","CNXN_PRFT","CMTL_PLAB","SCSC_PDFS","FORM_DIOD","SCSC_NSIT","BMI_VECO","AVID_IDCC","BMI_FORM","EGHT_ADTN","PLXS_SCSC","PRGS_NSIT","NTCT_MEI","NTCT_RAMP","NTCT_EXTR","CSGS_PLAB","UCTT_AEIS","PLAB_CSGS","PLXS_PDFS","PDFS_PLXS","ADEA_RMBS","HLIT_AEIS","HLIT_RAMP","TTMI_FARO","HLIT_FORM","EXTR_NTCT","RMBS_PLXS","ITRI_CSGS","CEVA_CNXN","CTS_PLXS","BMI_ITRI","PLXS_CLFD","PRGS_CTS","CLFD_PLXS","EBIX_NTCT","NTCT_EBIX","PLAB_EXTR","PDFS_ROG","ROG_PDFS","MEI_HLIT","CNXN_DGII","DGII_CNXN","ADTN_UCTT","ADTN_CEVA","ADTN_SMTC","KLIC_RMBS","NTGR_UCTT","RMBS_KLIC","DIOD_CNXN","CNXN_DIOD","HLIT_ROG","BMI_COHU","COHU_BMI","ADTN_PLXS","DGII_TTMI","TTMI_DGII","OSIS_TTMI","AVID_BHE","BHE_AVID","BHE_COHU","CLFD_EXTR","PDFS_BHE","ROG_KLIC","DGII_ACLS","AGYS_ACLS","ACLS_AGYS","VECO_BMI","PRGS_VECO","ITRI_OSIS","PDFS_ACLS","CMTL_NTGR"
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
102.947735538393,94.3237817735746,104.377080849786,100.677451694378,105.935109253477,113.124067872035,96.2647337851112,115.407897679004,115.255776688859,104.378089249321,99.8663564981594,100.478529487501,86.885097640592,97.6982669350502,100.290017593357,116.608895424237,97.3698700211306,100.586370873401,110.158966746407,102.459287615561,88.8771479055433,91.3600929156683,101.566186481322,90.3933137958232,98.3027802740867,98.1763975900893,100.867039081364,100.639256762611,92.4302055572002,108.297317443125,102.994915145465,100.240266440088,105.37145169478,86.5279767449443,97.1805532492654,95.7713213078967,110.944968685676,104.581821512133,103.502292079565,86.2418467847813,92.1831216785305,105.345768809509,106.124826523879,99.5238405387901,110.76010835369,99.8827156169815,110.640515413604,106.492763371769,116.493092384433,92.6206509209499,110.312726797867,90.0647900543809,103.170525774966,94.3157339235766,106.50260105997,101.245023516007,103.264112078358,110.640515413604,102.051684518278,93.9349527180758,100.771505222654,99.2633117112812,114.154982578068,99.7245831736389,98.6550149556729,115.057855010406,102.18179605937,106.815032648828,101.346002432179,94.1906986205577,98.6421579585132,101.020845205939,112.243623372066,118.732576868672,88.4041672469578,92.1259703721141,102.420306230561,89.4085350653577,88.5520618107417,89.4085264485754,83.3755883850664,118.675368929527,103.893433266175,107.801303330158,96.9904501415502,96.5572395761468,110.969931071815,101.879145892313,90.1611006109074,85.2393144804555,85.2393073929317,109.920098414807,111.847385700888,94.2604486612574,89.9669084690941,95.4644907925321,95.2011755321552,92.8044585519735,96.0076189782942,111.135647175146,100.974706602423,92.2885875422115,98.3243202463872
120.472418286292,91.3715605959061,91.933403243151,97.3813230275977,118.969503820794,102.195882604909,90.8540236899751,111.575748928254,108.777626299914,99.7775434858821,105.212629521059,101.203708678369,83.0101645892883,97.1104797630299,101.446027290394,123.443197835297,95.5548747459575,88.5875719184294,110.261120633952,110.050913180603,85.9991546892371,96.7114512683593,106.110725501282,96.991258164723,115.470668673317,99.2825151075386,117.345406483064,101.862671553386,85.7360477442619,104.295535629513,90.0383671777061,110.661648881025,119.70673898188,93.9663752239009,108.180361960035,93.1765103054373,116.379195803681,105.555737324626,102.903747930867,82.5074472334477,97.9295342073336,100.605637031127,94.2595717552896,96.1852061868949,107.283229412733,111.706688250319,119.114058636924,93.0509500170219,103.038697142645,106.041775981079,100.744189833376,98.3459831054329,110.711113396079,88.3408492014038,112.99533859526,113.392449721986,106.636549684239,114.099113909045,83.5155954304823,99.8270069308828,99.4327802148596,109.931825346906,120.490868369463,89.1748800287535,99.6921745765774,186.363516843288,81.2262875807648,84.9093635299782,110.40705096387,92.3987343206163,96.7655052940827,109.42670642714,109.832189110759,116.181736413306,89.2196259979382,93.7087508742917,98.2972401392551,85.6660890397899,84.6718958579242,85.666076637282,86.224291842919,114.020085369072,111.848269851953,103.15392816566,92.8091264974393,92.9359360510286,105.238047761034,108.01327826043,97.7397385035411,85.0702834386934,85.0702763326351,104.931993073531,150.940393764718,90.127880359929,94.4428723206314,101.741713918036,91.2575263978357,88.9600972530533,95.9607897653528,106.760001529203,99.1770956557366,85.6046862610614,94.5341697186856
122.521088557246,75.6315190769586,99.3924427778098,101.352714996,126.944844826079,107.126007777321,88.5542664494509,105.207577881101,106.024194568544,95.1865376644628,107.679851945877,110.086053023204,75.5587783756492,105.39093469661,114.18000643633,127.249441571389,105.559220572495,83.7776041978496,118.909585161807,109.362992754206,86.5335740180379,108.27282934809,115.809596926703,89.4144156884405,117.775320275003,105.675992087401,117.494680439291,97.3913438998627,77.8679182784745,114.696836785778,91.3925122430243,98.7899277557094,125.323310618994,85.4292100988902,95.7120243894351,93.9334039901234,106.687475597492,110.844986948005,101.162528257444,82.729888403932,94.6502107274182,106.806532892145,98.2487882861692,93.8497571632963,114.617618933135,114.201768688857,120.930886216196,87.1421006272476,106.958629078716,99.30797803609,103.61977031952,94.9464347073647,95.921642108298,95.1012432230324,115.554207323691,112.1441815,121.172165573744,112.741360628181,89.5593286341174,100.852821758441,99.6554777333258,111.211423276118,132.903117512448,91.8052731280477,96.702173605865,178.253095296401,78.8337588980608,82.4083255560256,109.316352024003,88.7767043557105,92.9722979268882,113.795405899125,111.422057926767,117.86352116903,79.0956995544609,97.9190137369768,88.2000820232362,99.1352132856054,80.2815795506822,99.1351985006077,85.1692162116454,115.058785551968,111.58126504962,98.7863219930604,88.8795952725856,103.951001332249,111.157856712373,103.313783870964,96.3586702892843,88.3431781410033,88.3431748535646,107.813438759639,161.465839660252,88.4730005584457,100.512732716729,110.169378459096,88.355030947415,86.1306697018893,97.1661140279006,97.9055630132063,96.831055292166,77.7486120413908,98.3440318790164
123.074858262588,78.1715202977988,91.6010471662719,106.890674634323,133.370164311327,119.484982141346,84.4727580117507,116.698120259819,101.137459566364,94.4735769638064,115.695517292981,120.463596438043,83.6783037342955,99.1289000982609,134.968714043552,131.152825536304,104.303212401119,74.8139987765786,107.562930625101,98.0822744538951,80.1735098704689,108.863412582806,126.712871665143,87.1616975467951,107.753331513144,110.932111273873,127.690973928711,86.1989726137253,75.1874786568542,101.796546403197,86.4948595558182,108.555362806234,117.830791664398,90.9030148833103,95.6496824190551,106.088722834476,110.829141070126,128.167260671927,109.45074633084,91.3148582016817,107.38662618561,115.532653417304,104.004823220555,99.362698614389,106.000029391773,125.125267400137,145.065101956303,80.4483764065115,116.593221049775,91.679767903166,96.4739755228261,101.15400718761,89.9281174598971,85.2620151785703,96.8794765031409,114.690833377977,103.114069605561,114.616895289556,89.8810731359024,94.4947448950316,97.421966398406,114.363440792459,128.453304448242,87.754930471896,96.3487192339475,184.626511412195,81.0003273543171,84.673133365739,100.697686683687,91.4501335418706,95.7720735728302,118.880195759319,107.150999329966,113.345544009795,84.4565413242441,100.750581612663,85.7152442591077,109.04088394724,92.6930724077051,109.040873857709,87.6870312628708,111.099940365031,101.579224721004,91.0161352183794,81.8886458158035,110.880099556776,104.133517882063,109.654140507729,99.1633013050332,99.9416879484221,100.587353933659,104.630970286382,150.630329327174,89.4684426414029,105.894512430436,117.056992163538,86.346901513832,84.1730933159221,91.4569990645805,97.9184641890977,101.19584914011,75.0722792865271,98.9071663089883
